doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1088/0029-5515/55/9/093011,Morphological and structural effects on tungsten targets produced by fusion plasma pulses from a table top plasma focus,M.J. Inestrosa-Izurieta; E. Ramos-Moore; L. Soto,2015,8,55,9,093011,,journal-article,,https://doi.org/10.1088/0029-5515/55/9/093011
10.1088/0029-5515/55/9/093016,Development of quantitative atomic modeling for tungsten transport study using LHD plasma with tungsten pellet injection,I. Murakami; H.A. Sakaue; C. Suzuki; D. Kato; M. Goto; N. Tamura; S. Sudo; S. Morita,2015,8,55,9,093016,,journal-article,,https://doi.org/10.1088/0029-5515/55/9/093016
10.1088/0029-5515/55/9/092002,Turbulence spreading as a non-local mechanism of global confinement degradation and ion temperature profile stiffness,S. Yi; J.M. Kwon; P.H. Diamond; T.S. Hahm,2015,8,55,9,092002,,journal-article,,https://doi.org/10.1088/0029-5515/55/9/092002
10.1088/0029-5515/55/9/093017,Theoretical analysis of deuterium retention in tungsten plasma-facing components induced by various traps via thermal desorption spectroscopy,J. Guterl; R.D. Smirnov; S.I. Krasheninnikov; M. Zibrov; A.A. Pisarev,2015,8,55,9,093017,,journal-article,,https://doi.org/10.1088/0029-5515/55/9/093017
10.1088/0029-5515/55/9/093027,The effect of transient temporal pulse shape on surface temperature and tungsten damage,J.H. Yu; G. De Temmerman; R.P. Doerner; R.A. Pitts; M.A. van den Berg,2015,8,55,9,093027,,journal-article,,https://doi.org/10.1088/0029-5515/55/9/093027
10.1088/0029-5515/55/9/092003,Energetics and kinetics unveiled on helium cluster growth in tungsten,Jinlong Wang; Liang-Liang Niu; Xiaolin Shu; Ying Zhang,2015,8,55,9,092003,,journal-article,,https://doi.org/10.1088/0029-5515/55/9/092003
10.1088/0029-5515/55/11/113009,H trapping and mobility in nanostructured tungsten grain boundaries: a combined experimental and theoretical approach,C. González; M. Panizo-Laiz; N. Gordillo; C.L. Guerrero; E. Tejado; F. Munnik; P. Piaggi; E. Bringa; R. Iglesias; J.M. Perlado; R. González-Arrabal,2015,9,55,11,113009,,journal-article,,https://doi.org/10.1088/0029-5515/55/11/113009
10.1088/0029-5515/55/11/113026,A review on two previous divertor target concepts for DEMO: mutual impact between structural design requirements and materials performance,Jeong-Ha You,2015,9,55,11,113026,,journal-article,,https://doi.org/10.1088/0029-5515/55/11/113026
10.1088/0029-5515/55/11/113029,"Interplay between central ECRH and saturated (<i>m</i>,<i>n</i>)  =  (1, 1) MHD activity in mitigating tungsten accumulation at ASDEX Upgrade",M. Sertoli; T. Odstrcil; C. Angioni,2015,9,55,11,113029,,journal-article,,https://doi.org/10.1088/0029-5515/55/11/113029
10.1088/0029-5515/55/12/123004,Impact of combined transient plasma/heat loads on tungsten performance below and above recrystallization temperature,Th. Loewenhoff; S. Bardin; H. Greuner; J. Linke; H. Maier; T. W. Morgan; G. Pintsuk; R.A. Pitts; B. Riccardi; G. De Temmerman,2015,10,55,12,123004,,journal-article,,https://doi.org/10.1088/0029-5515/55/12/123004
10.1088/0029-5515/55/12/123017,Impact of combined hydrogen plasma and transient heat loads on the performance of tungsten as plasma facing material,M. Wirtz; S. Bardin; A. Huber; A. Kreter; J. Linke; T.W. Morgan; G. Pintsuk; M. Reinhart; G. Sergienko; I. Steudel; G. De Temmerman; B. Unterberg,2015,11,55,12,123017,,journal-article,,https://doi.org/10.1088/0029-5515/55/12/123017
10.1088/0029-5515/55/12/123027,Radiation asymmetries during the thermal quench of massive gas injection disruptions in JET,M. Lehnen; S.N. Gerasimov; S. Jachmich; H.R. Koslowski; U. Kruezi; G.F. Matthews; J. Mlynar; C. Reux; P.C. de Vries,2015,11,55,12,123027,,journal-article,,https://doi.org/10.1088/0029-5515/55/12/123027
10.1088/0029-5515/56/1/016004,Interaction of deuterium plasma with sputter-deposited tungsten nitride films,L. Gao; W. Jacob; G. Meisl; T. Schwarz-Selinger; T. Höschen; U. von Toussaint; T. Dürbeck,2015,11,56,1,016004,,journal-article,,https://doi.org/10.1088/0029-5515/56/1/016004
10.1088/0029-5515/56/2/026004,First-principles calculations of transition metal solute interactions with hydrogen in tungsten,Xiang-Shan Kong; Xuebang Wu; C.S. Liu; Q.F. Fang; Q.M. Hu; Jun-Ling Chen; G.-N. Luo,2015,12,56,2,026004,,journal-article,,https://doi.org/10.1088/0029-5515/56/2/026004
10.1088/0029-5515/56/2/026012,Transport simulations of the pre–thermal–quench phase in ASDEX Upgrade massive gas injection experiments,E. Fable; G. Pautasso; M. Lehnen; R. Dux; M. Bernert; A. Mlynek,2016,1,56,2,026012,,journal-article,,https://doi.org/10.1088/0029-5515/56/2/026012
10.1088/0029-5515/56/3/036010,Deuterium occupation of vacancy-type defects in argon-damaged tungsten exposed to high flux and low energy deuterium plasma,Xiu-Li Zhu; Ying Zhang; Long Cheng; Yue Yuan; Gregory De Temmerman; Bao-Yi Wang; Xing-Zhong Cao; Guang-Hong Lu,2016,2,56,3,036010,,journal-article,,https://doi.org/10.1088/0029-5515/56/3/036010
10.1088/0029-5515/56/3/036005,Structural response of transient heat loading on a molybdenum surface exposed to low-energy helium ion irradiation,G. Sinclair; J.K. Tripathi; P.K. Diwakar; A. Hassanein,2016,2,56,3,036005,,journal-article,,https://doi.org/10.1088/0029-5515/56/3/036005
10.1088/0029-5515/56/3/036021,Surface damage and structure evolution of recrystallized tungsten exposed to ELM-like transient loads,Y. Yuan; J. Du; M. Wirtz; G.-N. Luo; G.-H. Lu; W. Liu,2016,2,56,3,036021,,journal-article,,https://doi.org/10.1088/0029-5515/56/3/036021
10.1088/0029-5515/56/4/046007,First demonstration of rapid shutdown using neon shattered pellet injection for thermal quench mitigation on DIII-D,N. Commaux; D. Shiraki; L.R. Baylor; E.M. Hollmann; N.W. Eidietis; C.J. Lasnier; R.A. Moyer; T.C. Jernigan; S.J. Meitner; S.K. Combs; C.R. Foust,2016,3,56,4,046007,,journal-article,,https://doi.org/10.1088/0029-5515/56/4/046007
